WordItem,OldNew,ItemType,trialsStudy1.thisRepN,trialsStudy1.thisTrialN,trialsStudy1.thisN,trialsStudy1.thisIndex,trialsTest.thisRepN,trialsTest.thisTrialN,trialsTest.thisN,trialsTest.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textBlank500.started,textBlank500.stopped,textStudyWord.started,textStudyWord.stopped,textWaitScreen.started,textWaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.started,keyWaitScreen.stopped,textTestWord.started,textTestWord.stopped,keyTest_yes_no.keys,keyTest_yes_no.rt,keyTest_yes_no.started,keyTest_yes_no.stopped,textEnd.started,textEnd.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,29.411720799980685,None,e,17.041922699980205,29.411720799980685,None,,,,,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
PROFESSOR,Old,Occupations,0,0,0,2,,,,,,,,,,,49.05249509998248,None,47.12653639999917,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
TEACHER,Old,Occupations,0,1,1,4,,,,,,,,,,,51.52069699999993,None,49.55224009999074,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
CARPENTER,Old,Occupations,0,2,2,8,,,,,,,,,,,54.02308649997576,None,52.02069330000086,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
PLUMBER,Old,Occupations,0,3,3,10,,,,,,,,,,,56.525602399982745,None,54.549099800002296,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
COURIER,Old,Occupations,0,4,4,3,,,,,,,,,,,59.02902789998916,None,57.0259768999822,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
NURSE,Old,Occupations,0,5,5,6,,,,,,,,,,,61.53072249999968,None,59.52914529998088,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
COBRA,Old,CW,0,6,6,11,,,,,,,,,,,64.03328069997951,None,62.0312957999995,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
REVEREND,Old,Occupations,0,7,7,5,,,,,,,,,,,66.53661459998693,None,64.53350719998707,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
ELECTRICIAN,New,RelLure,0,8,8,12,,,,,,,,,,,69.03877009998541,None,67.03629559997353,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
SALESMAN,Old,Occupations,0,9,9,0,,,,,,,,,,,71.54101989997434,None,69.53872889999184,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
ENGINEER,Old,Occupations,0,10,10,7,,,,,,,,,,,74.04244619997917,None,72.04175559998839,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
JANITOR,Old,Occupations,0,11,11,9,,,,,,,,,,,76.5460550999851,None,74.54344899998978,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
LAWYER,Old,Occupations,0,12,12,1,,,,,,,,,,,79.04905509998207,None,77.04618619999383,None,,,,,,,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
,,,,,,,,,,,,,,,,,79.54886559999431,None,,,80.04893609997816,None,i,12.940865199983818,80.04893609997816,None,,,,,,,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
NURSE,Old,Occupations,,,,,0,0,0,6,,,,,,,94.49765589999151,None,,,,,,,,,93.54546909997589,None,y,0.9170447000069544,93.54546909997589,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
JANITOR,Old,Occupations,,,,,0,1,1,9,,,,,,,95.99850519999745,None,,,,,,,,,94.99791159998858,None,y,0.9358126999868546,94.99791159998858,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
RATTLESNAKE,New,CWLure,,,,,0,2,2,19,,,,,,,97.60063369999989,None,,,,,,,,,96.49888499997905,None,n,1.0506928999966476,96.49888499997905,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
COURIER,Old,Occupations,,,,,0,3,3,3,,,,,,,98.90125589998206,None,,,,,,,,,98.10075069998857,None,y,0.7607892999949399,98.10075069998857,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
ENGINEER,Old,Occupations,,,,,0,4,4,7,,,,,,,100.36927289998857,None,,,,,,,,,99.40156009999919,None,y,0.9324731999950018,99.40156009999919,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
PLANK,New,UnrelLure,,,,,0,5,5,23,,,,,,,101.73723889997927,None,,,,,,,,,100.87035769998329,None,n,0.823158000013791,100.87035769998329,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
ELECTRICIAN,New,RelLure,,,,,0,6,6,12,,,,,,,103.27215459998115,None,,,,,,,,,102.23844869999448,None,y,0.9831036000105087,102.23844869999448,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
PLUMBER,Old,Occupations,,,,,0,7,7,10,,,,,,,104.64040069998009,None,,,,,,,,,103.77347119999467,None,y,0.8322724000026938,103.77347119999467,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
BOA,New,CWLure,,,,,0,8,8,18,,,,,,,105.94145689997822,None,,,,,,,,,105.14101289998507,None,n,0.7365266999986488,105.14101289998507,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
PROFESSOR,Old,Occupations,,,,,0,9,9,2,,,,,,,107.17621320000035,None,,,,,,,,,106.44236970000202,None,y,0.6911695000017062,106.44236970000202,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
DENTIST,New,RelLure,,,,,0,10,10,14,,,,,,,108.47823009997956,None,,,,,,,,,107.67671519998112,None,n,0.769047200010391,107.67671519998112,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
REDDEN,New,UnrelLure,,,,,0,11,11,21,,,,,,,109.94621969998116,None,,,,,,,,,108.9777533999877,None,n,0.9079822000057902,108.9777533999877,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
THUT,New,UnrelLure,,,,,0,12,12,20,,,,,,,111.24717319998308,None,,,,,,,,,110.44679929999984,None,n,0.7428189000056591,110.44679929999984,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
ACCOUNTANT,New,RelLure,,,,,0,13,13,13,,,,,,,112.64886999997543,None,,,,,,,,,111.747632899991,None,n,0.8668963999953121,111.747632899991,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
REVEREND,Old,Occupations,,,,,0,14,14,5,,,,,,,113.88264499997604,None,,,,,,,,,113.14849329998833,None,y,0.6971194999932777,113.14849329998833,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
TEACHER,Old,Occupations,,,,,0,15,15,4,,,,,,,115.08408599998802,None,,,,,,,,,114.38360869997996,None,y,0.6619550000177696,114.38360869997996,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
CARPENTER,Old,Occupations,,,,,0,16,16,8,,,,,,,116.2851934999926,None,,,,,,,,,115.5850228999916,None,y,0.6445422999968287,115.5850228999916,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
SALESMAN,Old,Occupations,,,,,0,17,17,0,,,,,,,117.45363129998441,None,,,,,,,,,116.786689200002,None,y,0.6193501999950968,116.786689200002,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
DETECTIVE,New,RelLure,,,,,0,18,18,15,,,,,,,118.78818499998306,None,,,,,,,,,117.95336039998801,None,n,0.7890195999934804,117.95336039998801,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
COBRA,Old,CW,,,,,0,19,19,11,,,,,,,120.4228565999947,None,,,,,,,,,119.28796719998354,None,y,1.0856677000119817,119.28796719998354,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
ANACONDA,New,CWLure,,,,,0,20,20,17,,,,,,,121.75767419999465,None,,,,,,,,,120.92377799999667,None,n,0.7779335000086576,120.92377799999667,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
LAWYER,Old,Occupations,,,,,0,21,21,1,,,,,,,122.99181119998684,None,,,,,,,,,122.25788189997547,None,y,0.6999312000116333,122.25788189997547,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
PROPAGANDA,New,UnrelLure,,,,,0,22,22,22,,,,,,,124.42687440000009,None,,,,,,,,,123.49226379999891,None,n,0.8732333999942057,123.49226379999891,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
PYTHON,New,CWLure,,,,,0,23,23,16,,,,,,,125.76140679998207,None,,,,,,,,,124.93052559997886,None,n,0.7715550999855623,124.93052559997886,None,,,,,,,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.26300939999055,None,space,1.31961720000254,126.26300939999055,None,AS,001,2020_Jun_08_1359,Exp4_unblocked_norest,2020.1.3,29.9803418902134,
